'09/30/2012',430
'05/26/2012',498
'09/15/2011',227
'05/26/2015',503
'09/15/2014',437
'07/12/2010',183
'02/13/2012',98
'02/02/2013',200
'02/02/2014',297
'02/13/2014',103
'03/15/2014',433
'11/20/2010',212
'06/26/2014',370
'11/20/2015',444
'03/15/2012',216
'12/28/2015',243
'12/21/2012',142
'05/07/2014',353
'05/07/2011',316
'07/19/2011',217
'05/07/2012',265
'12/11/2012',177
'12/11/2011',220
'11/05/2015',458
'11/05/2010',179
'02/18/2011',184
'08/03/2014',580
'11/22/2015',516
'11/22/2012',147
'08/03/2012',269
'06/10/2012',510
'05/04/2015',584
'12/12/2011',166
'06/10/2011',201
'05/04/2010',305
'07/23/2010',169
'06/10/2014',463
'05/04/2013',402
'11/08/2014',464
'12/09/2013',134
'05/28/2010',306
'11/03/2012',100
'11/03/2011',213
'11/03/2014',302
'07/28/2011',270
'11/17/2015',453
'04/02/2014',353
'04/02/2011',200
'08/30/2012',301
'07/09/2010',204
'12/19/2014',295
'08/30/2011',312
'07/09/2015',339
'12/19/2013',174
'03/21/2011',125
'11/17/2012',218
'02/04/2013',129
'02/04/2010',134
'02/04/2015',252
'04/23/2010',284
'02/16/2012',148
'02/16/2015',218
'05/17/2015',701
'10/29/2013',203
'07/11/2014',471
'07/11/2012',278
'01/22/2011',116
'04/11/2010',325
'01/22/2014',80
'10/26/2010',247
'08/02/2014',623
'01/19/2016',244
'09/23/2015',603
'09/23/2012',400
'08/22/2014',366
'07/30/2012',240
'08/22/2011',257
'08/22/2012',267
'12/27/2012',97
'02/24/2011',130
'02/24/2012',170
'10/20/2011',280
'10/20/2014',301
'12/17/2010',154
'07/16/2013',191
'12/17/2013',152
'01/19/2010',92
'03/08/2012',293
'03/08/2011',139
'09/11/2014',391
'12/08/2011',156
'04/12/2013',195
'04/12/2015',544
'03/22/2010',149
'07/14/2013',359
'12/03/2010',138
'07/14/2010',169
'11/29/2012',166
'10/19/2012',252
'11/29/2011',183
'10/19/2015',334
'11/29/2014',335
'06/30/2015',541
'06/30/2010',224
'06/30/2013',350
'10/24/2015',751
'08/09/2012',213
'08/09/2011',185
'02/27/2016',538
'02/27/2011',177
'10/23/2013',309
'10/23/2014',269
'01/09/2012',157
'10/13/2010',239
'10/11/2015',685
'04/17/2011',173
'05/22/2012',208
'04/17/2012',327
'05/28/2015',549
'06/18/2010',319
'03/21/2014',288
'02/20/2010',210
'01/28/2010',109
'04/07/2010',260
'08/30/2014',721
'04/07/2013',276
'12/23/2014',209
'09/13/2011',278
'12/23/2011',129
'06/01/2014',803
'09/14/2010',269
'05/27/2014',394
'09/14/2015',434
'05/27/2011',335
'09/18/2015',652
'01/11/2012',130
'10/16/2010',258
'09/18/2013',307
'01/11/2011',76
'02/05/2016',248
'02/05/2011',111
'02/22/2014',328
'02/22/2011',96
'01/12/2013',241
'07/26/2013',372
'01/12/2010',65
'08/18/2012',470
'07/26/2015',576
'09/26/2014',553
'02/08/2016',231
'12/07/2013',298
'03/10/2014',208
'02/08/2013',137
'12/07/2014',393
'09/26/2012',248
'02/08/2010',98
'02/03/2013',170
'02/03/2016',309
'02/03/2015',154
'10/03/2013',371
'09/01/2012',404
'10/03/2010',293
'07/18/2015',869
'10/03/2015',451
'09/01/2014',466
'08/18/2014',373
'12/26/2014',172
'06/11/2010',278
'01/19/2015',305
'06/11/2015',514
'04/19/2015',662
'12/26/2012',89
'04/13/2013',340
'12/05/2013',252
'04/13/2014',584
'12/05/2010',148
'06/02/2014',485
'06/02/2011',217
'06/02/2012',382
'11/30/2010',135
'11/30/2013',218
'01/04/2015',254
'05/03/2010',198
'12/20/2013',227
'05/03/2015',744
'06/29/2014',658
'12/20/2015',410
'06/09/2015',470
'09/08/2015',288
'06/09/2010',154
'06/09/2013',715
'08/31/2010',126
'03/26/2012',188
'03/28/2012',251
'03/26/2011',155
'07/04/2014',383
'02/11/2016',247
'07/04/2013',351
'04/22/2010',216
'04/22/2015',420
'10/12/2011',239
'10/28/2011',228
'01/27/2011',73
'10/12/2012',217
'04/10/2014',337
'01/27/2016',282
'11/21/2015',703
'07/07/2012',337
'03/20/2012',290
'03/20/2015',245
'07/07/2014',331
'01/17/2011',121
'01/17/2014',210
'08/29/2011',182
'04/19/2012',283
'04/16/2014',219
'04/16/2013',246
'02/11/2015',240
'01/08/2014',148
'01/08/2012',178
'08/17/2013',654
'08/17/2014',635
'04/15/2013',268
'04/15/2010',236
'04/15/2015',489
'10/11/2012',230
'11/11/2010',141
'08/16/2014',884
'03/19/2010',277
'03/19/2013',132
'02/29/2016',300
'01/04/2012',102
'01/02/2014',86
'03/07/2012',220
'05/05/2013',343
'05/05/2010',309
'05/05/2015',627
'06/12/2011',265
'03/24/2010',131
'03/24/2013',234
'10/26/2015',367
'09/19/2012',233
'10/17/2010',296
'04/10/2011',162
'03/23/2011',106
'03/23/2012',360
'03/13/2012',292
'03/13/2011',133
'03/13/2014',183
'10/31/2012',23
'11/28/2010',146
'10/31/2011',235
'11/28/2015',427
'06/28/2010',135
'04/09/2014',290
'10/14/2014',459
'11/19/2015',393
'11/19/2013',184
'05/18/2014',700
'07/02/2012',203
'07/02/2015',583
'04/21/2010',199
'08/14/2014',468
'04/21/2013',273
'05/20/2012',509
'01/23/2011',99
'05/20/2011',358
'08/16/2012',170
'08/13/2014',296
'08/16/2011',319
'08/13/2011',503
'11/12/2012',169
'08/13/2012',243
'05/11/2013',433
'10/28/2014',386
'05/11/2015',556
'03/16/2015',272
'03/16/2013',270
'10/01/2014',415
'09/28/2010',198
'08/24/2014',710
'10/01/2011',331
'09/03/2010',196
'08/24/2011',296
'10/01/2012',239
'07/17/2012',203
'07/17/2011',341
'07/17/2014',429
'03/18/2013',118
'09/05/2012',152
'01/07/2011',117
'01/07/2012',269
'03/18/2010',224
'03/03/2012',240
'01/30/2012',108
'05/14/2015',520
'05/14/2013',237
'09/21/2012',373
'06/26/2011',317
'01/26/2015',145
'07/27/2013',559
'01/26/2010',136
'07/27/2014',617
'01/26/2013',153
'01/05/2015',188
'01/05/2012',110
'07/30/2014',395
'06/07/2010',246
'12/27/2014',291
'05/17/2010',301
'05/17/2013',450
'04/18/2011',190
'01/20/2010',134
'07/10/2010',308
'05/09/2013',291
'05/09/2010',154
'04/18/2014',288
'07/22/2014',367
'08/27/2010',311
'03/12/2010',127
'02/21/2010',171
'10/18/2014',690
'03/12/2015',301
'03/28/2015',434
'07/31/2012',265
'06/22/2015',494
'07/31/2011',333
'07/16/2014',341
'12/06/2012',163
'05/30/2013',362
'05/30/2010',372
'05/08/2012',233
'03/11/2013',215
'05/08/2015',810
'06/14/2012',377
'06/14/2011',209
'03/11/2010',143
'12/30/2010',78
'12/06/2014',380
'02/11/2013',113
'07/22/2013',193
'08/19/2011',297
'10/14/2012',272
'07/24/2012',259
'07/24/2015',577
'03/17/2012',315
'03/17/2011',208
'04/01/2012',265
'05/31/2012',294
'04/01/2011',143
'05/31/2015',561
'04/01/2014',315
'03/31/2013',207
'03/14/2011',133
'04/27/2012',196
'02/28/2014',274
'04/27/2011',256
'12/10/2014',239
'12/10/2011',298
'12/10/2012',147
'02/19/2014',158
'06/13/2015',850
'02/19/2011',111
'06/13/2012',260
'02/19/2012',245
'06/23/2015',391
'11/14/2013',199
'06/23/2010',177
'06/23/2013',479
'02/12/2015',230
'02/12/2010',110
'02/12/2013',178
'04/08/2010',295
'10/30/2013',290
'05/01/2013',268
'07/03/2015',788
'09/11/2013',234
'04/04/2014',250
'09/20/2010',243
'11/25/2015',309
'04/04/2011',161
'11/25/2010',101
'04/04/2012',229
'11/24/2015',337
'03/01/2010',82
'01/03/2010',51
'11/26/2012',118
'04/20/2015',278
'04/20/2012',327
'11/26/2014',159
'02/15/2010',130
'04/29/2012',294
'08/12/2015',399
'09/08/2010',186
'04/29/2015',587
'08/12/2010',179
'09/08/2013',510
'12/30/2015',310
'05/19/2012',526
'10/25/2011',213
'05/19/2011',155
'12/13/2011',128
'05/19/2014',341
'09/29/2011',255
'09/29/2012',552
'08/23/2012',308
'08/08/2010',301
'08/23/2011',215
'09/25/2010',346
'04/30/2012',177
'02/17/2015',173
'02/17/2012',194
'08/25/2012',540
'10/08/2011',429
'11/07/2012',67
'08/25/2015',457
'11/07/2011',164
'12/14/2010',116
'12/14/2015',333
'11/06/2010',235
'09/12/2012',343
'08/15/2014',492
'08/15/2011',211
'09/12/2014',490
'11/14/2015',623
'03/24/2015',298
'06/06/2010',272
'06/06/2015',1044
'12/31/2011',227
'09/22/2015',521
'12/16/2014',323
'12/16/2011',212
'06/12/2014',361
'07/29/2011',214
'05/18/2013',552
'09/17/2010',246
'11/23/2012',141
'11/23/2015',251
'05/10/2011',239
'08/21/2015',522
'05/10/2012',270
'08/21/2010',440
'06/15/2011',286
'08/21/2013',296
'09/17/2013',244
'08/26/2011',94
'08/26/2012',470
'11/24/2013',226
'08/14/2011',212
'10/17/2015',664
'07/13/2012',257
'07/13/2011',228
'09/05/2015',818
'10/07/2013',259
'02/28/2013',202
'03/05/2016',513
'10/07/2010',224
'09/21/2011',256
'01/06/2013',150
'04/03/2013',181
'01/06/2016',266
'01/30/2014',187
'07/10/2013',178
'09/19/2011',251
'07/10/2015',532
'03/31/2015',342
'04/03/2010',245
'04/05/2012',156
'04/05/2011',154
'08/04/2010',209
'08/04/2015',428
'06/15/2012',403
'04/06/2013',299
'04/06/2010',266
'04/06/2015',446
'09/22/2012',500
'01/10/2010',86
'10/24/2010',321
'07/25/2014',477
'07/25/2011',201
'05/16/2011',210
'06/05/2010',325
'05/06/2014',338
'06/05/2013',384
'05/06/2013',273
'09/24/2012',258
'09/24/2011',400
'03/30/2011',143
'08/11/2011',318
'03/30/2012',185
'02/25/2014',171
'02/25/2013',162
'04/09/2013',316
'05/13/2010',207
'10/27/2014',330
'09/06/2010',340
'05/13/2013',227
'10/27/2011',200
'10/14/2011',240
'09/27/2015',836
'10/04/2015',547
'02/26/2013',142
'01/18/2014',307
'02/26/2010',57
'01/18/2011',100
'02/26/2015',231
'01/18/2012',151
'07/15/2012',315
'07/15/2015',424
'04/09/2015',314
'08/05/2012',258
'01/13/2015',217
'12/29/2013',144
'08/05/2011',319
'02/09/2014',220
'12/29/2014',209
'03/25/2015',287
